price,location,bedroom_count,bathroom_count
1750,0,1, 1,0
2500,0,2, 2,0
2700,0,3, 2,1
1795,0,1, 1,0
2000,0,2, 1,0
1400,0,1, 1,0
1800,0,2, 1,0
1800,0,2, 1,0
1700,0,1, 1,0
2600,0,2, 1,0
1900,0,1, 1,0
1975,0,1, 1,0
1872,0,2, 1,0
1900,0,1, 1,0
2280,0,3, 2,0
1600,0,2, 1,0
1750,0,1, 1,0
2300,0,2, 1,0
1330,0,1, 1,0
1950,0,1, 1,0
1750,0,1, 1,0
2500,0,2, 2,0
2700,0,3, 2,1
1795,0,1, 1,0
2000,0,2, 1,0
1400,0,1, 1,0
1800,0,2, 1,0
1800,0,2, 1,0
1700,0,1, 1,0
2600,0,2, 1,0
1900,0,1, 1,0
1975,0,1, 1,0
1872,0,2, 1,0
1900,0,1, 1,0
2280,0,3, 2,0
1600,0,2, 1,0
1750,0,1, 1,0
2300,0,2, 1,0
1330,0,1, 1,0
1950,0,1, 1,0
2000,0,2, 1,0
1685,0,1, 1,0
4400,0,3, 3,0
1400,0,1, 1,0
1550,0,1, 1,0
2250,0,2, 2,0
1800,0,1, 1,0
1775,0,2, 1,0
1600,0,2, 1,0
1612,0,1, 1,0
1200,0,1, 1,0
1500,0,1, 1,0
2400,0,2, 2,0
3000,0,1, 1,1
1950,0,1, 1,0
4000,0,3, 2,0
1554,0,1, 1,0
2575,0,2, 1,0
1850,0,2, 1,0
2140,0,2, 1,0
1650,0,1, 1,0
2000,0,1, 1,0
2250,0,2, 1,0
2300,0,2, 2,0
1700,0,2, 1,1
1400,0,1, 1,0
2990,0,3, 2,0
1550,0,1, 1,0
3400,0,3, 2,0
1350,0,1, 1,1
1600,0,1, 1,0
3250,0,2, 2,0
3400,0,1, 1,0
2107,0,2, 2,0
1900,0,2, 1,0
1850,0,2, 1,0
2500,0,1, 1,0
1850,0,1, 1,0
3580,0,3, 2,0
2400,0,2, 2,0
4645,0,3, 2,0
3500,0,1, 1,0
3400,0,1, 1,0
3580,0,2, 1,0
4250,0,2, 2,0
2042,0,2, 1,0
1040,0,1, 1,0
1000,0,1, 1,0
920,0,1, 1,0
1040,0,1, 1,0
980,0,1, 1,0
2300,0,1, 1,0
3245,0,2, 2,0
3575,0,2, 2,0
5030,0,3, 3,1
2545,0,1, 1,1
3245,0,2, 2,1
3600,0,2, 2,0
2800,0,1, 2,0
3360,0,1, 2,0
3360,0,1, 2,0
3360,0,1, 2,0
3360,0,2, 1,0
3360,0,1, 2,0
1828,1,2, 1,0
1999,1,2, 2,0
1961,1,1, 1,0
2400,1,2, 2,0
1701,1,1, 1,0
1550,1,1, 1,0
1975,1,2, 1,0
2300,1,1, 1,1
2452,1,2, 2,0
2040,1,1, 1,0
1460,1,1, 1,0
2500,1,2, 2,1
2500,1,2, 1,0
2700,1,2, 2,0
2300,1,2, 1,0
2000,1,2, 1,0
2407,1,2, 1,0
2011,1,2, 1,0
1828,1,2, 1,0
1999,1,2, 2,0
1961,1,1, 1,0
2400,1,2, 2,0
1701,1,1, 1,0
1550,1,1, 1,0
1975,1,2, 1,0
2300,1,1, 1,1
2452,1,2, 2,0
2040,1,1, 1,0
1460,1,1, 1,0
2500,1,2, 2,1
2500,1,2, 1,0
2700,1,2, 2,0
2300,1,2, 1,0
2000,1,2, 1,0
2407,1,2, 1,0
2011,1,2, 1,0
1800,1,1, 1,0
1750,1,1, 1,0
2400,1,2, 2,0
2800,1,2, 1,0
1850,1,1, 1,0
2200,1,1, 1,0
3800,1,2, 2,0
3600,1,2, 2,0
2150,1,2, 1,0
1730,1,2, 1,0
1982,1,2, 1,0
2250,1,2, 1,0
2350,1,2, 1,0
15000,1,2, 3,0
3400,1,2, 2,0
1536,1,1, 1,0
3600,1,2, 2,0
2800,1,1, 1,0
2795,1,2, 2,0
2450,1,1, 1,0
2900,1,2, 2,0
3900,1,3, 2,0
2800,1,1, 1,0
4500,1,1, 1,0
2700,1,2, 2,0
2300,1,1, 1,0
1800,1,1, 1,0
1650,1,1, 1,0
4200,1,3, 2,0
2800,1,2, 1,0
8000,1,3, 3,0
3000,1,1, 1,0
3600,1,2, 2,0
4100,1,1, 1,0
3200,1,1, 1,0
3600,1,2, 2,0
3600,1,2, 2,0
3400,1,2, 2,0
3000,1,1, 1,0
4900,1,2, 2,0
2450,1,1, 1,0
2450,1,1, 1,0
4200,1,2, 2,0
4500,1,2, 1,0
4500,1,2, 2,0
3580,1,1, 1,0
2700,1,1, 1,0
3980,1,2, 2,0
3980,1,3, 2,0
3360,1,2, 2,0
4500,1,2, 2,0
4500,1,2, 2,0
4200,1,2, 2,0
2387,1,1, 1,0
6500,1,1, 2,0
6000,1,3, 3,0
2600,1,1, 1,0
3600,1,2, 1,0
3650,1,2, 2,0
3750,1,2, 2,0
4230,1,3, 2,0
15000,1,2, 3,0
4200,1,2, 2,0
4300,1,2, 2,0
3300,1,2, 2,0
3150,1,2, 2,1
6000,1,3, 3,0
3572,1,2, 2,0
4000,1,2, 2,0
4200,1,3, 2,0
2300,1,1, 1,0
2800,1,1, 1,0
2800,1,1, 1,0
3360,1,1, 1,0
1500,2,1, 1,0
1500,2,1, 1,0
1500,2,1, 1,0
1500,2,1, 1,0
950,2,1, 1,0
1530,2,1, 1,1
2100,2,2, 2,0
1950,2,2, 2,0
1500,2,1, 1,0
1500,2,1, 1,0
1500,2,1, 1,0
1500,2,1, 1,0
950,2,1, 1,0
1530,2,1, 1,1
2100,2,2, 2,0
1950,2,2, 2,0
1890,3,1, 1,0
2200,3,2, 1,0
1750,3,1, 1,0
2300,3,2, 1,0
2500,3,2, 2,0
2500,3,2, 2,0
3250,3,3, 1,0
2000,3,2, 1,0
1569,3,1, 1,0
2100,3,2, 1,0
2549,3,2, 2,0
2450,3,2, 1,0
2400,3,2, 1,0
3300,3,3, 2,0
1700,3,2, 1,0
1695,3,1, 1,0
2819,3,3, 2,0
2300,3,2, 1,0
2400,3,2, 2,0
1890,3,1, 1,0
2200,3,2, 1,0
1750,3,1, 1,0
2300,3,2, 1,0
2500,3,2, 2,0
2500,3,2, 2,0
3250,3,3, 1,0
2000,3,2, 1,0
1569,3,1, 1,0
2100,3,2, 1,0
2549,3,2, 2,0
2450,3,2, 1,0
2400,3,2, 1,0
3300,3,3, 2,0
1700,3,2, 1,0
1695,3,1, 1,0
2819,3,3, 2,0
2300,3,2, 1,0
2400,3,2, 2,0
3300,3,3, 2,0
2200,3,1, 1,0
3640,3,3, 3,0
4500,3,4, 2,0
1766,3,1, 1,0
3000,3,2, 3,0
3000,3,2, 2,0
1850,3,2, 1,0
1900,3,1, 1,0
1800,3,1, 1,0
2000,3,1, 1,0
2500,3,2, 2,0
1750,3,1, 1,0
1960,3,2, 2,0
1850,3,1, 1,0
1880,3,1, 1,0
2065,3,2, 1,0
4500,3,3, 2,0
2000,3,2, 1,0
1443,3,1, 1,0
1600,3,1, 1,0
2700,3,2, 2,0
5050,3,4, 2,1
3000,3,2, 3,0
2900,3,2, 2,0
1600,3,1, 1,0
2500,3,2, 2,0
1400,3,1, 1,0
1900,3,1, 1,0
3450,3,3, 2,0
5000,3,2, 2,0
3771,3,4, 3,0
4000,3,3, 2,0
2400,3,2, 1,0
1700,3,1, 1,1
7000,3,3, 2,1
7000,3,4, 2,1
4160,3,3, 2,1
3000,3,2, 2,0
6000,3,4, 3,1
2450,3,2, 1,1
3250,3,3, 2,1
2500,3,2, 1,0
2800,3,2, 2,1
2000,3,1, 1,0
2691,3,2, 2,0
3500,3,2, 2,0
2450,3,2, 2,0
2300,3,1, 1,0
4700,3,3, 3,1
4000,3,3, 3,1
1144,3,1, 1,0
2040,3,2, 1,0
2100,3,1, 1,1
2000,3,2, 1,0
2100,3,2, 1,0
4000,3,2, 3,0
3200,3,2, 2,0
2150,3,2, 1,0
11000,3,6, 4,1
2500,3,2, 2,0
2389,3,2, 1,0
2300,3,1, 1,0
3000,3,2, 2,0
2300,3,2, 2,0
2500,3,2, 2,0
10000,3,3, 4,0
2000,3,2, 1,0
6000,3,5, 3,0
4706,3,4, 3,1
4700,3,2, 2,0
2300,3,2, 2,1
2350,3,2, 1,0
2400,3,2, 2,0
4995,3,3, 3,0
6500,3,2, 2,0
7500,3,4, 4,1
5000,3,4, 3,1
3750,3,3, 3,0
2500,3,2, 1,0
15000,3,5, 5,1
2000,3,2, 1,0
1800,3,1, 1,0
1950,3,1, 1,0
1900,3,1, 1,0
2150,3,2, 1,1
4900,3,4, 5,0
5000,3,1, 2,1
2400,3,2, 2,0
3400,3,3, 3,1
8500,3,3, 3,0
3500,3,3, 2,1
3400,3,1, 1,0
9500,3,5, 4,1
3600,3,1, 2,0
3750,3,2, 1,0
4050,3,2, 2,0
3900,3,1, 1,0
3900,3,1, 1,0
3900,3,2, 2,0
3495,3,4, 1,1
3500,3,3, 2,0
2995,3,2, 2,0
7000,3,2, 3,0
4150,3,2, 2,0
3900,3,1, 1,0
3900,3,1, 1,0
2750,3,2, 3,1
10000,3,5, 3,1
4000,3,2, 3,0
5000,3,2, 3,0
5500,3,3, 4,0
6000,3,3, 4,0
15000,3,4, 5,0
6000,3,2, 3,1
3360,3,1, 1,0
2940,3,2, 2,0
2940,3,2, 2,0
4620,3,3, 2,0
3304,3,1, 1,0
3528,3,2, 2,0
1721,4,2, 1,0
3495,4,4, 2,0
3400,4,3, 2,0
3000,4,4, 4,0
3000,4,4, 3,1
2800,4,3, 2,0
3500,4,4, 4,0
2025,4,2, 2,0
1650,4,1, 1,0
2000,4,3, 1,1
3250,4,3, 2,0
1721,4,2, 1,0
3495,4,4, 2,0
3400,4,3, 2,0
3000,4,4, 4,0
3000,4,4, 3,1
2800,4,3, 2,0
3500,4,4, 4,0
2025,4,2, 2,0
1650,4,1, 1,0
2000,4,3, 1,1
3250,4,3, 2,0
2200,5,2, 1,0
1800,5,1, 1,0
1674,5,1, 1,0
1300,5,1, 1,0
1300,5,1, 1,0
4250,5,4, 1,0
1280,5,2, 1,0
1800,5,2, 2,0
1925,5,2, 1,0
2200,5,2, 2,0
1850,5,1, 1,0
1800,5,1, 1,0
2200,5,2, 1,0
2999,5,2, 2,0
3822,5,4, 4,1
4000,5,4, 3,1
2200,5,2, 1,0
1800,5,1, 1,0
1674,5,1, 1,0
1300,5,1, 1,0
1300,5,1, 1,0
4250,5,4, 1,0
1280,5,2, 1,0
1800,5,2, 2,0
